
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-05 18:22:57 /frames/cam_1.jpg?t=1775391776371 ........................................................ ~ 1s
  2026-04-05 18:22:58 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:22:58 /frames/cam_1.jpg?t=1775391777364 ........................................................ ~ 1s
  2026-04-05 18:22:59 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:22:58 /frames/cam_1.jpg?t=1775391778362 ........................................................ ~ 2s
  2026-04-05 18:22:59 /snapshots/cam_1_20260405_182255_947.jpg ................................................. ~ 1s
  2026-04-05 18:23:00 /frames/cam_1.jpg?t=1775391779369 ................................................... ~ 11.45ms
  2026-04-05 18:23:00 /frames/cam_1.jpg?t=1775391780369 .................................................... ~ 9.66ms
  2026-04-05 18:23:01 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:23:02 /frames/cam_1.jpg ........................................................................ ~ 1s
  2026-04-05 18:23:02 /api/detections/report ................................................................... ~ 2s
  2026-04-05 18:23:04 /api/detections/latest ................................................................... ~ 2s
  2026-04-05 18:23:05 /frames/cam_1.jpg?t=1775391782360 .................................................. ~ 538.48ms
  2026-04-05 18:23:06 /frames/cam_1.jpg?t=1775391783371 .................................................... ~ 6.38ms
  2026-04-05 18:23:06 /frames/cam_1.jpg?t=1775391784357 ................................................... ~ 10.17ms
  2026-04-05 18:23:06 /frames/cam_1.jpg?t=1775391785357 ................................................... ~ 13.29ms
  2026-04-05 18:23:06 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:23:06 /snapshots/cam_1_20260405_182301_143.jpg ................................................. ~ 1s
  2026-04-05 18:23:06 /frames/cam_1.jpg?t=1775391786364 ........................................................ ~ 1s
  2026-04-05 18:23:07 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:23:07 /frames/cam_1.jpg?t=1775391787368 ........................................................ ~ 1s
  2026-04-05 18:23:08 /frames/cam_1.jpg?t=1775391788372 .................................................... ~ 5.94ms
  2026-04-05 18:23:08 /api/detections/latest ............................................................. ~ 508.26ms
  2026-04-05 18:23:09 /frames/cam_1.jpg?t=1775391789373 .................................................... ~ 0.91ms
  2026-04-05 18:23:10 /frames/cam_1.jpg?t=1775391790369 .................................................... ~ 1.27ms
  2026-04-05 18:23:10 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:23:11 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:23:12 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:23:11 /frames/cam_1.jpg?t=1775391791370 ........................................................ ~ 2s
  2026-04-05 18:23:13 /api/detections/latest ................................................................... ~ 1s
